plan_id,composite_rank,theme,title,is_extension,novelty_score,impact_score,complexity_score,available_data_score,composite_score,data_readiness,primary_method,primary_outcome,geography_grain,core_tables,literature_anchor
"#10","11","Crime, deprivation, and environment","Nonlinear deprivation gradient and threshold effects","false","3","4","2","5","16","ready_now","Spline and threshold models","Log sale price","LSOA","source_land_registry_price_paid|dim_postcode_geography|fact_area_deprivation","Roback (1982)|place-quality capitalization literature"
"#21","12","Finance, affordability, and macro","Deflator choice sensitivity for real-price conclusions","false","3","4","2","5","16","ready_now","Parallel index construction and sensitivity analysis","Real price levels and drawdowns","National|LAD","source_land_registry_price_paid|inflation_monthly_core|inflation_monthly_housing_components","Hill (2011)|housing valuation literature"
"#14","13","Property quality and EPC","Energy-shock salience and EPC premium shift after 2022","false","5","5","4","3","15","join_intensive","Pre/post interaction hedonic models","Sale price premium by EPC quality","Property-level","fact_property_epc_certificate|dim_property_epc_latest|source_land_registry_price_paid","Rosen (1974)|housing-cost salience"
"#13","14","Schools and human capital","Ofsted upgrade/downgrade event study","false","4","5","4","4","15","join_intensive","School-event study with distance bands","Nearby sale-price change","School radius","dim_school|fact_school_ofsted_inspection|source_land_registry_price_paid|dim_postcode_geography","Black (1999)|school capitalization literature"
"#12","15","Demography, labour, methods, and extensions","Hedonic versus repeat-sales divergence under composition change","false","4","4","3","4","15","ready_now","Parallel index comparison and decomposition","Constant-quality price index gaps","National|local market","source_land_registry_price_paid|dim_postcode_geography","Bailey, Muth, and Nourse (1963)|Case and Shiller (1987)|Hill (2011)"
"#15","16","Supply, stock, and spatial divergence","Population growth versus stock growth mismatch","false","4","4","3","4","15","ready_now","Annual mismatch panel","Price pressure and persistence","LAD|LSOA","fact_area_demographics_year|fact_lad_housing_stock_year|fact_lad_supply_year|source_land_registry_price_paid|dim_postcode_geography","Mankiw and Weil (1989)|Geng (2018)"
"#16","17","Crime, deprivation, and environment","Persistent crime shocks and discount persistence","false","4","4","3","4","15","ready_now","Local shock event study","Discount half-life and recovery","LSOA","fact_area_crime_month|source_land_registry_price_paid|dim_postcode_geography","Crime capitalization literature"
"#17","18","Supply, stock, and spatial divergence","Boom-bust amplitude in constrained places","false","4","4","3","4","15","ready_now","Cycle-shape regressions","Boom amplitude and correction duration","LAD","source_land_registry_price_paid|fact_lad_supply_year|fact_lad_housing_stock_year|mortgage_rates_monthly_effective|dim_postcode_geography","Glaeser, Gyourko, and Saiz (2008)|Hilber and Vermeulen (2016)"
"#18","19","Schools and human capital","Nearest primary versus secondary quality capitalization","false","3","5","4","4","14","join_intensive","Segmented hedonic models with school context","Sale price premium by school phase","Property-level","mart_property_school_context|dim_school|fact_school_performance_year|fact_school_ofsted_inspection|source_land_registry_price_paid","Black (1999)|school quality review literature"
"#19","20","Schools and human capital","School-quality premium under affordability stress","false","4","4","4","4","14","join_intensive","Interaction models by financing regime","School premium under high-rate periods","Property-level","mart_property_school_context|fact_school_performance_year|fact_school_ofsted_inspection|source_land_registry_price_paid|mortgage_rates_monthly_effective","Black (1999)|user-cost theory"
"#20","21","Crime, deprivation, and environment","AQMA declaration and price/liquidity effects","false","4","4","3","3","14","ready_now","Authority-year event study","Price growth and transaction intensity","LAD","fact_area_environment|source_land_registry_price_paid|dim_postcode_geography","Chay and Greenstone (2005)|environmental capitalization literature"
"#24","22","Schools and human capital","Nearby-school density and choice premium","false","4","4","3","3","14","join_intensive","Choice-set hedonic models","Premium for nearby good-school density","Property-level","mart_property_school_context|dim_school|fact_school_performance_year|source_land_registry_price_paid","Black (1999)|school-access capitalization"
"#22","23","Crime, deprivation, and environment","Environmental injustice capitalization: AQMA x deprivation","false","5","4","4","3","13","ready_now","Triple-interaction panel","Heterogeneous environmental discount","LAD|LSOA proxy","fact_area_environment|fact_area_deprivation|source_land_registry_price_paid|dim_postcode_geography","Currie et al. (2015)|environmental risk pricing"
"#25","24","Property quality and EPC","EPC upgrade capitalization using repeated certificates","false","5","4","5","3","13","join_intensive","Upgrade-event matched study","Post-upgrade sale-price change","Property-level","fact_property_epc_certificate|dim_property_epc_latest|source_land_registry_price_paid","Hedonic quality-change logic|repeat-observation methods"
"#23","25","Property quality and EPC","EPC rating premium net of structural attributes","false","4","4","4","3","13","join_intensive","Matched and hedonic cross-section","Sale price premium by EPC rating","Property-level","dim_property_epc_latest|fact_property_epc_certificate|source_land_registry_price_paid","Rosen (1974)|housing-quality hedonic literature"
"#27","26","Property quality and EPC","Floor-area versus efficiency trade-off in price formation","false","4","3","4","3","12","join_intensive","Interaction hedonic models","Marginal value of space versus efficiency","Property-level","dim_property_epc_latest|fact_property_epc_certificate|source_land_registry_price_paid","Hedonic trade-off analysis"
"#28","27","Property quality and EPC","New-build, tenure, and property-type interactions with energy quality","false","4","3","4","3","12","join_intensive","Segmented hedonic models","Segment-specific EPC premium","Property-level","dim_property_epc_latest|fact_property_epc_certificate|source_land_registry_price_paid","Segmented hedonic pricing"
"#30","28","Demography, labour, methods, and extensions","Flood and climate-risk capitalization beyond AQMA","true","5","5","5","2","11","extension","Risk-exposure event and panel models","Price and liquidity effects of physical risk","Property-level|area-level","future expanded fact_area_environment|source_land_registry_price_paid","Beltran, Maddison, and Elliott (2019)|Bernstein, Gustafson, and Lewis (2019)|Keys and Mulder (2020)"
"#29","29","Demography, labour, methods, and extensions","Amenity access and broadband premium","true","5","4","4","2","11","extension","Amenity-distance hedonic models","Sale price premium for accessibility and amenities","Property-level","future mart_property_amenity_context|source_land_registry_price_paid","Roback (1982)|Gibbons and Machin (2005)"
"#26","30","Schools and human capital","Inspection volatility and price dispersion/liquidity","false","4","3","4","4","11","join_intensive","Uncertainty panel using school inspection volatility","Price dispersion and transaction intensity","School radius","dim_school|fact_school_ofsted_inspection|source_land_registry_price_paid|dim_postcode_geography","School uncertainty extension of capitalization literature"
